a1,a2,a3,counterfeit
-5.823,5.8699,1.212,1
-5.1422,4.2916,-1.2487,0
10.1788,-4.2185,-4.4245,0
0.9829,0.68861,0.63403,0
4.8504,-5.2133,-6.1043,1
-0.50491,2.6328,0.53705,1
-12.9371,15.6559,-1.6806,1
9.798,-3.0361,-2.8224,0
3.6812,-0.60008,-4.0133,1
9.0862,-1.2281,-1.4996,0
1.9182,-3.2828,-0.61768,1
-4.9704,3.5025,-0.23751,0
-4.0951,4.367,1.0698,0
6.63,-0.63435,0.86937,0
9.3718,-4.0351,-3.9564,0
-5.554,4.7749,1.547,1
8.6413,-1.6351,-1.3043,0
0.9022,-2.3506,0.42714,1
3.3088,-2.2829,-2.1978,1
-7.1163,5.7902,0.16723,1
9.3262,-3.6873,-6.2543,0
0.31038,0.77344,1.4189,1
3.4288,0.56265,-1.1672,1
6.4023,-2.432,-0.98363,0
1.6285,-0.88541,-1.4802,1
8.6806,0.0091344,-3.703,1
-6.0237,5.2419,0.29524,1
1.2829,1.9276,1.7991,0
0.35591,2.6473,-0.37846,1
-6.3486,5.6154,0.42584,1
8.6496,-0.96252,-1.8112,0
-10.5099,9.0239,-1.9547,1
-13.4586,17.5932,-2.7771,1
6.3258,0.89768,-6.6241,1
-7.1121,11.3897,-0.083634,1
-1.4402,1.1273,0.16076,1
2.0175,7.7618,0.93532,0
2.4811,-2.8673,-0.89828,1
8.5709,-3.0326,-0.59182,0
9.4607,-4.9288,-5.2366,0
-2.7956,2.0707,0.67412,0
0.25865,-0.84085,0.96118,1
4.898,-0.92311,-5.0801,1
-4.449,3.5427,0.15429,0
2.3383,-2.9812,-1.0431,1
-3.3315,5.1305,0.8267,0
8.3847,-2.0567,-0.90345,0
3.0646,0.37158,0.58619,0
-9.0407,8.862,-0.86983,1
1.7071,-0.051701,1.4926,0
12.5026,0.69118,-7.5487,0
2.9073,1.0579,0.40774,0
-2.5928,2.3183,0.303,0
-6.5389,10.5234,-0.48967,1
3.5136,0.61406,-0.40691,0
11.8818,2.0458,-5.2728,0
4.5565,-4.9888,-2.8987,1
-13.2869,13.4727,-2.6271,1
-9.8808,8.1088,-1.0806,1
7.3915,0.029699,-7.3987,1
10.5885,-3.725,-4.3133,0
10.3567,-3.7301,-3.6991,0
8.6661,-2.8073,-0.44699,0
-0.3911,0.93452,0.42972,1
2.9508,1.0271,0.5461,0
-5.4236,3.8255,-1.2526,0
-6.8266,7.5339,0.59007,1
8.7696,0.23191,-3.937,1
8.8855,-1.6831,-1.6599,0
0.5587,-0.38587,-0.66423,1
2.2121,-3.1183,-0.11725,1
3.3584,-1.7302,-3.5646,1
3.2964,-2.2563,-2.4642,1
4.3682,2.1384,0.75429,0
0.66216,2.1041,1.8922,0
9.5311,0.022844,-6.8517,1
3.3295,0.83598,0.64955,0
8.7324,-2.9007,-0.96682,0
-6.8824,7.5416,0.70774,1
10.7044,-3.3085,-4.0767,0
0.070346,6.8681,-0.50648,0
-10.4602,8.9717,-2.3427,1
3.9834,-1.5572,1.0103,0
-4.0061,1.7956,0.91722,1
4.1199,-4.569,-4.1414,1
9.5911,-3.9032,-3.3487,0
-2.4211,2.6413,1.6168,0
10.754,-3.3994,-4.1685,0
7.7846,-0.28219,-2.6608,0
5.8312,-2.4097,-0.24527,0
-1.7775,8.3316,0.35214,0
3.764,-4.4738,-4.0483,1
-0.84841,2.5377,0.097399,1
7.6398,-2.4243,-1.2384,0
-6.719,9.0162,0.099985,1
3.4515,0.66719,-0.94742,1
8.3516,-2.5425,-1.2823,0
-1.9162,-0.15538,-0.11984,1
11.1472,1.9353,-3.4638,0
0.23175,2.0133,2.0564,0
10.7271,2.0938,-5.6504,0
10.4726,-3.0087,-3.2013,0
-3.3378,2.5865,-0.54785,0
3.2798,-1.2701,1.1189,0
11.3603,-0.37644,-7.0495,0
6.6424,-1.1425,-1.0573,0
9.7546,-3.1749,-2.9957,0
3.8095,-4.9408,-4.0909,1
8.7096,-0.21621,-3.6345,1
-3.9358,2.8633,-0.017686,0
-7.3625,6.9255,-0.66811,1
-3.2674,2.5839,0.21766,0
5.616,2.2138,-0.12501,0
7.5404,0.65005,-0.92544,0
11.2962,-4.0943,-4.3457,0
7.2756,-2.4766,-1.2099,0
1.4609,1.3501,1.9284,0
10.8306,-3.3437,-4.122,0
-12.8006,15.6199,-0.95647,1
-3.6275,2.8684,0.27714,0
0.62905,-0.64121,0.75817,1
-6.7893,5.2761,-0.32544,1
-6.6072,5.8022,0.31593,1
1.7982,-2.9581,0.2099,1
0.32487,-0.33617,-0.36036,1
0.57318,-1.9402,0.44007,1
8.5234,1.4461,-3.9306,0
-4.4552,4.5718,-0.9888,0
9.1814,-4.6067,-4.3263,0
-9.1566,9.5766,-0.73018,1
1.8541,-0.023425,1.2314,0
8.7489,-1.2641,-1.3858,0
11.5093,0.15565,-6.8194,0
-3.2467,3.4579,0.83705,0
-0.30626,1.3347,1.3763,1
2.8928,-3.6461,-3.0603,1
0.27727,0.20792,0.33662,0
4.9601,-0.64892,-5.4719,1
3.3191,-1.3927,-1.9948,1
-6.8452,8.9999,2.1353,1
10.8513,-3.1466,-3.9784,0
11.5176,1.8231,-5.375,0
0.40971,1.4015,1.1952,0
2.6735,-0.84085,-2.0323,1
9.887,-4.0788,-4.3664,0
6.7955,-0.1708,0.4905,0
-0.031048,0.32616,1.1151,0
-6.7748,8.3873,-0.54139,0
0.20692,1.2473,-0.3707,1
1.7299,-3.1963,-0.1457,1
10.0857,-4.2931,-3.8142,0
-3.137,1.9259,-0.37458,0
2.2638,-3.1046,-0.11855,1
1.0595,-2.3437,0.39998,1
-0.34765,4.1905,-0.99138,0
-5.7899,6.0122,0.046968,1
-13.0634,17.1116,-2.8017,1
3.3708,-4.4987,-3.6965,1
0.039307,-0.24192,0.31593,1
0.68906,0.77344,1.2095,0
4.1323,-4.7018,-2.5987,1
2.599,2.0938,0.20085,0
8.1881,-3.1338,-2.5276,0
3.4019,-3.4859,-3.5569,1
-6.4748,8.0514,-0.41855,0
7.9295,0.61663,-3.2646,1
0.12415,-0.28733,0.14654,1
-0.08485,4.1785,0.59136,0
-5.0325,6.6608,-0.57889,0
-6.7686,6.6753,0.89912,1
-0.68287,0.096532,1.1965,1
0.80287,1.6371,1.1875,0
-9.2497,8.9922,-0.50001,1
-6.5865,4.8486,-0.021566,1
-7.2508,6.0139,0.36895,1
3.5178,0.7623,0.81119,0
0.70148,-0.51182,0.0055892,1
6.8224,-0.67377,-0.46898,0
0.12415,-1.0465,-0.86208,1
-4.8297,3.4553,-0.25174,0
7.6377,-2.7876,-1.0341,0
12.1177,0.28846,-7.7581,0
6.1437,1.7828,-0.72113,0
4.1986,-0.5898,-3.9642,1
0.74493,0.83256,0.753,0
-0.7077,2.5325,0.71808,1
3.1929,-3.4054,-3.1832,1
10.0215,-4.2699,-4.9159,0
6.7934,0.68604,-7.5887,1
1.7361,-1.4938,-1.1582,1
6.1664,-2.5905,-0.36553,0
-0.05588,1.949,1.353,1
-4.6062,8.347,-2.7099,0
3.5074,-1.7842,-3.8491,1
0.83391,5.4552,-0.56984,0
-4.7759,8.4182,-1.8836,0
9.4669,-4.9417,-3.9202,0
-9.0366,9.0162,-0.12243,1
6.2637,-1.9513,-0.36165,0
3.8013,-4.9143,-3.7483,1
2.7521,-0.72261,-2.353,1
8.7944,-3.6359,-1.3754,0
-0.23798,0.56008,0.05602,1
-1.4237,2.9241,0.66119,1
10.423,-4.1602,-4.9728,0
6.0795,-0.5778,-2.2302,0
-8.1819,12.1291,-1.6017,1
-10.4519,9.1139,-1.7323,1
7.9212,1.093,-2.8444,0
-0.045533,-0.18794,0.23447,1
-6.6258,8.6521,1.8198,1
0.43661,4.5864,-0.3151,0
1.4381,-0.82114,-1.2862,1
10.1374,-1.331,-5.4707,0
-1.254,2.9986,0.36378,1
6.9176,-1.2744,-1.5759,0
5.3905,-2.4037,-0.061652,0
2.7852,-2.1835,-1.9276,1
3.7909,-0.6532,-4.1802,1
0.13863,0.12138,1.1435,0
6.1189,0.46497,0.49826,0
7.617,-2.3874,-0.96164,0
5.6864,-1.7157,-0.23751,0
3.584,0.72545,0.39481,0
9.6718,-3.9606,-3.1625,0
-4.5152,2.1195,1.4448,1
-0.69529,0.87711,0.29653,1
-0.0248,1.2421,-0.5621,0
3.8654,-0.3336,-1.2797,1
6.7334,1.0708,-0.9332,0
2.6218,0.62863,-1.1595,1
-9.0883,9.2416,-0.10432,1
-12.9723,12.9817,-2.684,1
8.722,-3.0224,-0.59699,0
5.1939,-1.7971,-1.1763,0
6.6155,-0.79287,-0.90863,0
1.6327,0.83598,-0.091393,1
10.4643,-4.3839,-4.3379,0
3.4226,-3.9692,-1.7116,1
1.2436,4.2171,0.90429,0
1.1319,0.72202,0.96118,0
-3.0957,2.8093,0.24481,0
3.1122,0.80857,0.4336,0
-3.4143,2.7742,-0.2026,0
0.40143,1.4563,0.65343,0
1.8479,3.1375,0.42843,0
-1.1505,-0.95138,0.57843,1
2.3259,4.9085,0.54998,0
-8.213,10.083,0.96765,1
3.8157,-0.31304,-3.8194,1
-2.1252,-0.10397,-0.19225,1
1.0636,-0.71232,-0.8388,1
11.17,-1.3824,-4.0728,0
-9.6035,7.7764,-0.97716,1
10.0008,-3.2049,-3.1095,0
2.8597,0.19678,0.57196,0
9.5663,-3.7867,-7.5034,0
10.8223,2.6439,-4.837,0
-12.0205,11.9149,-2.7552,1
1.0926,-0.35502,-0.59958,1
-1.1816,1.3818,0.7336,1
5.7919,0.065686,-1.5759,0
7.2052,-3.2846,-1.1608,0
3.257,-3.6778,-3.2944,1
1.9824,-2.3163,-1.1957,1
3.6357,-4.4044,-4.1414,1
-2.9177,2.2232,0.22283,0
9.3614,-3.6316,-1.2461,0
8.0764,-3.0515,-1.7155,0
2.4004,1.8908,0.73231,0
6.9321,-1.0456,0.23447,0
2.3445,0.52667,-0.40173,1
0.97462,4.2265,0.81377,0
-4.1096,4.5701,0.98963,0
4.2358,2.1341,0.3211,0
1.0512,-0.46298,-1.0974,1
-13.6593,17.6052,-2.4927,1
11.0334,3.1863,-4.8888,0
7.8653,-2.3515,-0.71984,0
-1.7175,-0.52553,-0.21036,1
6.841,-0.029423,0.44912,0
1.852,-3.0121,0.003003,1
5.2187,-2.5425,0.5461,0
7.9129,0.29018,-2.1953,0
10.1457,-4.084,-3.6991,0
5.6802,-1.9693,0.026279,0
2.4107,-0.17594,1.6245,0
1.734,1.6011,0.96765,0
1.9037,7.5339,1.022,0
3.5447,-1.3721,-2.8483,1
12.5398,2.9438,-3.5258,0
7.2011,-1.2153,0.3211,0
9.9884,1.1804,-5.2263,0
1.525,-1.4089,-0.76121,1
-2.7004,2.4957,0.36636,0
2.8452,-3.6436,-3.1004,1
-2.4087,4.5735,0.47627,1
-1.3678,7.0858,-0.40303,0
-0.44284,0.38015,1.3763,0
0.6394,5.989,-0.58277,0
9.2683,-3.5913,-1.356,0
0.51524,1.0279,1.106,0
-0.31247,1.2815,0.41291,1
4.5462,2.2935,0.22541,0
0.32694,0.17965,1.1797,0
-13.7731,17.9274,-2.0323,1
2.4273,0.6809,-1.0871,1
3.0729,-3.3857,-2.9155,1
-0.95602,2.7073,-0.16639,1
9.3987,0.85998,-5.3336,0
-1.3678,1.997,0.52283,1
0.80494,-1.6411,-0.19225,1
-6.3879,5.5255,0.79955,1
1.4174,-1.4252,-1.1246,1
7.257,-1.9153,-0.86078,0
-3.1081,2.4537,0.52024,0
9.5663,-3.7867,-7.5034,0
8.8793,-1.9136,-0.53751,0
8.2895,-1.9213,-3.3332,0
7.886,-1.6643,-1.8384,0
9.2,0.25933,-4.6832,1
-7.2446,6.5537,-0.1276,1
-9.9532,8.4756,-1.8733,1
-0.57113,7.1903,-0.67587,0
4.4303,-1.3335,-1.7517,0
9.0096,-3.761,-3.3371,0
0.49248,1.093,1.8276,0
-4.4552,3.1769,0.0042961,0
1.1815,-0.55552,-0.81165,1
6.7562,0.0099913,0.39481,0
-8.2916,10.3032,0.38059,1
6.0195,-0.46641,-0.69268,0
1.5478,0.041694,1.9284,0
-0.53181,2.3877,0.77627,1
-6.6383,5.7491,-0.10691,1
-6.63,10.4849,-0.42113,1
-0.46146,7.7267,0.90946,0
2.7935,0.32274,-0.86078,1
2.6218,1.8513,0.40257,0
-4.8794,8.3428,-2.1086,0
-8.0971,10.1772,0.65084,1
0.039307,6.2332,-0.30346,0
9.0552,-2.4089,-1.3884,0
-7.3046,6.839,-0.59053,1
4.7055,1.3758,0.081882,0
3.3253,-0.51954,-3.5737,1
1.9327,-3.2888,-0.32415,1
3.913,-4.5544,-3.8672,1
1.7734,6.7756,-0.39915,0
1.5664,7.5382,0.78403,0
1.5685,-0.084261,-1.7453,1
-2.9156,2.2129,0.30817,0
9.1214,1.7425,-5.1241,0
8.3847,-2.0995,-1.9677,0
10.3671,-4.413,-4.0211,0
7.5032,-0.13396,-7.5034,1
7.7763,-2.7473,-1.9353,0
3.5116,-1.2538,1.0129,0
-0.080711,-0.75774,-0.3707,1
-10.5244,9.9176,-0.5026,1
5.4049,-2.5228,-0.89958,0
7.4101,-0.97709,-0.88406,0
1.9596,-3.0584,-0.12243,1
4.0744,-4.7635,-2.6129,1
10.0277,-3.9298,-4.0819,0
9.2931,-0.7843,-2.1978,0
5.4132,-1.8219,0.23576,0
4.8028,2.0878,0.62627,0
3.1681,1.9619,0.18662,0
9.4318,-0.66263,-1.6728,0
8.8068,0.94566,-4.2267,0
6.6755,-0.24278,-6.5775,1
2.808,-3.1432,-1.2035,1
1.4733,-1.4192,-0.58535,1
8.2068,-2.7824,-1.4336,0
-8.6475,7.6796,-0.66682,1
2.4976,1.0313,0.96894,0
-4.1634,3.5008,-0.078462,0
10.1808,-4.7857,-4.3366,0
5.8395,2.3235,0.066365,0
0.39108,-0.98223,0.42843,1
-2.6528,2.1375,0.94437,0
-0.0248,1.2421,-0.5621,0
10.0153,-3.9486,-3.8582,0
-0.89808,8.0883,0.69222,0
1.7837,2.1161,0.61334,0
8.0329,1.8848,-3.8853,0
11.4535,2.1092,-3.9629,0
2.4066,-2.8416,-0.59958,1
11.2217,1.9079,-3.4405,0
2.5349,-3.0464,-1.2629,1
2.9611,-1.2864,-1.4647,1
-5.974,10.0916,-0.82846,1
-12.4736,14.9704,-1.3884,1
-4.7428,6.3489,0.11162,1
-12.813,12.6689,-1.9082,1
6.2699,0.15822,-5.5457,1
-0.14279,-0.031994,0.35084,1
-0.98912,2.3586,0.39481,1
11.9211,2.6756,-3.3241,0
2.4707,2.4931,0.37671,0
-1.5706,2.4357,0.49826,1
-7.3191,7.8981,1.2289,1
6.1499,-1.1605,-1.2371,0
1.5892,7.0078,0.42455,0
3.8944,-4.8166,-4.3418,1
9.767,-1.3687,-1.7853,0
6.9383,0.57722,0.66377,0
9.0821,-3.3111,-0.96811,0
-12.5854,15.4417,-1.4983,1
-4.3414,3.6884,-0.29829,0
3.7557,-1.7345,1.0789,0
6.6258,0.48382,-2.2134,0
0.70975,0.75716,-0.44441,0
7.1225,-0.083404,-6.4172,1
6.2761,-1.5495,-2.4746,0
9.1297,-3.725,-5.8224,0
-1.7672,-0.34474,-0.12372,1
-6.6362,10.5405,-0.89182,1
0.89392,-1.6283,-0.56854,1
-6.8969,5.5992,-0.47156,1
-0.010356,-0.99337,-0.53104,1
2.4955,0.48554,0.36119,0
-3.3771,4.1211,1.5043,1
6.3465,-0.1828,-2.4099,0
10.2678,-2.953,-5.8638,0
9.2207,-3.7044,-6.8103,0
2.2493,1.3458,-0.037083,0
-3.8696,4.044,0.95343,0
2.2327,-0.26334,1.5534,0
3.644,-4.0746,-1.9909,1
5.6574,0.72974,-1.4892,0
6.8121,1.8128,-0.61251,0
-4.4697,8.2219,-1.8073,0
-5.4484,5.8039,0.88231,1
3.6274,3.308,0.48921,0
3.1287,4.2933,0.64696,0
9.2621,-3.521,-1.872,0
6.3672,-0.036278,0.049554,0
9.6594,-0.28819,-1.6638,0
8.1674,-2.4586,-1.4621,0
6.0299,-2.0156,-0.065531,0
1.8458,-1.3575,-1.3806,1
3.6067,-4.0557,-1.5966,1
3.0605,-1.8356,-2.834,1
0.45937,1.3621,1.6181,0
3.0025,-3.6067,-3.4457,1
0.7098,0.7572,-0.4444,0
1.4816,-0.48355,0.95343,0
6.4479,1.0836,-6.6176,1
-9.1359,9.3444,-0.65259,1
-9.3263,9.3727,-0.85949,1
-1.0471,8.0514,0.49567,0
-0.77392,3.3602,0.00171,1
4.84,-5.2613,-6.0823,1
2.9301,-3.5467,-2.6737,1
-8.3827,12.393,-1.2823,1
1.3492,-1.4501,-0.55949,1
9.4111,1.7305,-4.8629,0
-1.4092,1.1582,0.36507,1
-0.99533,5.3404,-0.15475,0
8.0081,-3.7258,-1.3069,0
-7.0314,7.4936,0.61334,1
6.0816,0.23705,-2.0116,0
3.9606,-1.983,0.40774,0
-5.4981,8.3368,-2.8715,0
3.2301,-1.3575,-2.5819,1
8.871,-2.3386,-0.75604,0
7.1328,-0.31475,-1.1828,0
0.99945,-2.2126,0.097399,1
2.8701,0.51124,0.5099,0
2.9653,0.20021,-0.056479,0
9.887,-4.6795,-3.7483,0
10.7727,-1.3884,-4.3276,0
10.067,-1.1982,-4.1284,0
3.2922,-1.9702,-3.4392,1
10.2678,-2.953,-5.8638,0
3.3005,1.063,-1.444,1
-8.6848,9.155,0.94049,1
8.3661,0.50781,-3.8155,0
-0.68494,1.9833,-0.44829,1
-0.19038,-0.90597,0.003003,1
-3.884,3.3577,-0.0060486,0
-0.033118,4.7355,-0.2776,0
-4.4076,5.9856,0.078002,0
-4.8835,3.4356,-0.5776,0
0.81322,1.6277,0.77627,0
-0.024841,1.2421,-0.56208,0
3.9647,3.3979,0.84351,0
-1.6906,2.518,0.51636,1
0.81529,2.1041,1.0245,0
4.78,-5.1362,-3.2362,1
-2.2535,1.518,0.61981,1
3.6668,-0.6969,-1.2474,1
9.3593,-3.3565,-3.3526,0
1.3864,5.2727,-0.43536,0
-6.1603,5.606,0.48533,1
3.0915,-2.3969,-2.6711,1
1.9224,7.1466,0.89136,0
-4.7738,8.527,-1.8668,0
9.171,-3.6461,-1.2047,0
7.1018,0.3493,-0.41337,0
10.2036,2.1787,-5.6038,0
2.2948,3.2403,0.18404,0
8.7261,-2.9915,-0.57242,0
-4.0765,2.7587,0.31981,0
8.2316,-3.2511,-1.5694,0
10.2243,-1.097,-4.0159,0
2.9984,-1.1664,-1.6185,1
1.8023,0.1805,-2.3931,1
-7.9026,6.7807,0.34179,1
9.3821,-3.2477,-1.4543,0
-7.2135,11.6433,-0.94613,1
-12.8792,13.0597,-3.3125,1
8.7241,2.2215,-4.5965,0
10.2678,-2.953,-5.8638,0
3.6833,-4.0129,-1.7207,1
8.6889,-2.9033,-0.7819,0
-6.841,8.9494,0.68058,1
-6.959,8.8054,1.5289,1
-13.2889,17.3087,-3.2194,1
-0.091058,-0.31818,0.50214,1
-4.002,1.8471,0.6017,1
7.8384,-3.5348,-1.2151,0
-5.7381,4.3919,0.3211,1
0.60836,2.7039,-0.23751,1
5.9947,0.53009,0.84998,0
11.1741,-4.3582,-4.7401,0
0.60422,-0.38587,-0.059065,1
7.8612,-0.87598,-3.5569,0
0.13036,-0.031137,-0.35389,1
6.1416,0.37929,0.56938,0
-6.3113,5.355,0.80472,1
5.8561,1.8762,-0.32544,0
0.22761,0.96108,0.97282,0
0.86909,-2.3138,0.82412,1
-0.82358,0.78543,0.74524,1
3.9213,-0.49212,-3.6371,1
7.8902,-2.6196,-0.48708,0
7.886,-1.6643,-1.8384,0
1.9679,-0.42357,-2.1125,1
-4.4448,2.2241,0.49826,1
1.5933,0.045122,-1.678,1
-2.8846,2.2558,-0.15734,0
0.29176,-1.6506,0.83834,1
5.8333,0.54723,-4.9379,1
1.7485,-1.4801,-1.4181,1
-0.033118,-0.20165,0.55774,1
0.23589,4.8477,1.437,0
-6.7562,5.0585,-0.55044,1
3.2322,-3.282,-3.1004,1
0.084831,-0.2462,0.45688,1
-1.1174,1.5454,-0.26079,0
3.286,2.8753,0.087054,0
-0.78427,3.0141,0.76205,1
-5.1008,4.5367,1.3866,1
-4.7904,3.3954,-0.53751,0
9.1752,-0.27448,-6.0422,1
-6.8638,8.132,-0.2401,0
-8.4385,8.8483,0.96894,1
-6.572,4.7689,-0.94354,1
1.9037,-0.035421,-2.5095,1
0.54214,-0.52725,0.6586,1
-9.6698,9.4652,-0.34872,1
3.8964,-1.4304,0.86291,0
1.3098,0.055404,1.909,0
2.0279,-2.3652,-1.2746,1
2.7356,1.3278,-0.1832,0
-7.5756,11.8678,-0.57889,1
1.1857,-2.6411,0.11033,1
-0.070365,2.0416,1.1319,0
10.8265,2.3603,-3.4198,0
10.9258,-3.8929,-4.1802,0
5.8126,-2.2306,-0.66553,0
0.80908,8.1628,0.60817,0
-0.76978,5.5854,1.3039,0
3.3791,-1.2256,-2.6621,1
10.6651,-3.5288,-4.7672,0
-6.9321,8.2888,-1.2991,0
0.8546,7.1303,0.027572,0
-6.1789,11.388,-1.0741,1
-4.8359,6.6479,-0.060358,1
10.2429,-1.4912,-4.0082,0
3.2219,-3.4302,-2.8457,1
-12.1736,14.3689,-0.61639,1
10.9279,-4.0112,-5.0284,0
4.8587,-0.76888,-4.8668,1
6.5079,2.0133,-0.87242,0
-6.1665,8.0831,-0.34355,0
9.2931,-0.41243,-1.9638,0
3.1639,0.22677,-0.1651,0
12.6247,0.73573,-7.6612,0
0.7201,1.6928,0.64438,0
0.30417,0.6569,-0.2957,1
9.7484,0.15394,-1.6134,0
-0.40145,1.4855,1.1189,1
-0.25246,5.1707,1.0763,0
4.8731,-5.2861,-5.8741,1
9.0489,-0.52725,-2.0789,0
-1.432,2.1144,0.42067,1
-5.5602,4.0483,0.903,1
-4.7076,7.9186,-1.5487,0
-2.8018,3.7115,0.99739,1
-12.8461,12.7957,-3.1353,1
9.5228,-4.0112,-3.5944,0
-6.4624,8.4773,0.31981,1
4.7738,-4.8431,-5.5909,1
6.5906,0.55837,-0.44182,0
3.3108,-4.5081,-4.012,1
3.7433,-0.40215,-1.2953,1
0.70768,2.29,1.8663,0
3.5612,-4.407,-4.4103,1
9.1814,-1.6326,-1.7375,0
10.2615,-3.8552,-4.3056,0
7.6067,-0.9788,-2.4668,0
2.9487,4.3225,0.7155,0
0.18416,0.90539,1.5806,1
2.6963,-3.1226,-1.3121,1
-12.4922,14.8881,-0.47027,1
7.7557,-0.16823,-3.0771,0
2.4748,-2.9452,-1.0276,1
-12.7406,15.5573,-0.14182,1
-6.4624,8.3573,-1.5216,0
-0.14693,0.80342,0.29136,0
6.69,-1.2042,-0.38751,0
-1.6058,1.3647,0.16464,1
1.4423,1.0219,1.4008,0
9.1938,-0.9094,-1.872,0
3.8964,-0.1888,-1.1672,1
-12.2377,11.9552,-2.1603,1
-3.6792,3.8281,1.6297,0
-6.301,4.7843,1.106,1
